1867110        ,210278                        ,1.0
1144120        ,817706                        ,3.0
1723110        ,957894                        ,1.0
9999400        ,862538                        ,2.0
2911010        ,167900                        ,1.0
1343050        ,262204                        ,1.0
1366020        ,327710                        ,2.0
1865180        ,230015                        ,5.0
1372040        ,167600                        ,1.0
1726010        ,837814                        ,1.0
9999400        ,632101                        ,3.0
2711010        ,100125                        ,2.0
1773080        ,101120                        ,1.0
1747000        ,413004                        ,10.0
1704170        ,327405                        ,1.0
2346000        ,102900                        ,1.0
1921130        ,407700                        ,1.0
1647080        ,490105                        ,1.0
1822070        ,222205                        ,1.0
1143080        ,317418                        ,1.0
1144090        ,210245                        ,1.0
1970060        ,413017                        ,2.0
1322010        ,733056                        ,1.0
1647060        ,816204                        ,1.0
1420000        ,413014                        ,2.0
1704050        ,203113                        ,10.0
1143010        ,255007                        ,1.0
1147070        ,490103                        ,1.0
1144060        ,862710                        ,2.0
1142160        ,580111                        ,1.0
1712020        ,413020                        ,5.0
1143010        ,332200                        ,1.0
1720100        ,327608                        ,1.0
1567040        ,240604                        ,2.0
1771070        ,203113                        ,1.0
1370100        ,101152                        ,1.0
2111170        ,210204                        ,1.0
1320000        ,327101                        ,1.0
1947000        ,490182                        ,1.0
1370040        ,532201                        ,1.0
1674010        ,413004                        ,48.0
1707080        ,210246                        ,3.0
1781010        ,222400                        ,1.0
1973020        ,230013                        ,4.0
1778060        ,387330                        ,1.0
1673030        ,210858                        ,1.0
1000100AT      ,387014                        ,1.0
2117360        ,108840                        ,2.0
2711010        ,277070                        ,1.0
5144010        ,190025                        ,1.0
1911000        ,413020                        ,1.0
1373020        ,240600                        ,1.0
1620050        ,150230                        ,1.0
1311010        ,290060                        ,1.0
1776070        ,413012                        ,5.0
1681020        ,143350                        ,10.0
1343020        ,127018                        ,1.0
1173010        ,632051                        ,1.0
1712020        ,210152                        ,1.0
1147070        ,210270                        ,1.0
1143040        ,632874                        ,1.0
1973020        ,255201                        ,1.0
1682010        ,956810                        ,1.0
1111000        ,221015                        ,5.0
1970030        ,167400                        ,1.0
5741000        ,590900                        ,64.0
1772050        ,210220                        ,10.0
1777010        ,413017                        ,1.0
1980040        ,240304                        ,1.0
1826060        ,413004                        ,10.0
1684030        ,210310                        ,1.0
1784020        ,255009                        ,1.0
1370100        ,578506                        ,4.0
1100060        ,413020                        ,12.0
1373070        ,221002                        ,2.0
1775060        ,203132                        ,1.0
1144060        ,332200                        ,1.0
1172030        ,277070                        ,1.0
1776070        ,143651                        ,2.0
1142160        ,203113                        ,1.0
1870010        ,210281                        ,1.0
1570050        ,143751                        ,1.0
1861070        ,956810                        ,2.0
1948000        ,413008                        ,2.0
1980040        ,221090                        ,1.0
1867110        ,210206                        ,1.0
1142260        ,387017                        ,1.0
1664000        ,150250                        ,1.0
1722080        ,733600                        ,1.0
1777130        ,127102                        ,5.0
1728110        ,317402                        ,1.0
1775060        ,510012                        ,1.0
1873010        ,240306                        ,1.0
1542070        ,143125                        ,15.0
1370090        ,733070                        ,1.0
1623010        ,210251                        ,1.0
3703040        ,413020                        ,1.0
1772050        ,143351                        ,1.0
1173010        ,143325                        ,30.0
1970090        ,230011                        ,10.0
1705230        ,285126                        ,1.0
1377060        ,407700                        ,2.0
1873050        ,413004                        ,2.0
1144090        ,347012                        ,1.0
1712020        ,210257                        ,1.0
1371020        ,933210                        ,1.0
1175020        ,255205                        ,1.0
1970070        ,317409                        ,1.0
1884000        ,101155                        ,1.0
1722040        ,153500                        ,1.0
1941000        ,127102                        ,1.0
1142160        ,143765                        ,3.0
2511030        ,252010                        ,1.0
1373030        ,143965                        ,2.0
1776120        ,153520                        ,1.0
1770090        ,290010                        ,1.0
1700150        ,277030                        ,1.0
1305070        ,760010                        ,2.0
1717020        ,210210                        ,2.0
2370000        ,510010                        ,5.0
9999402        ,956138                        ,1.0
1744060        ,255209                        ,3.0
1370120        ,407708                        ,1.0
1666025        ,143865                        ,1.0
1475000        ,317500                        ,2.0
1884000        ,490115                        ,1.0
1822070        ,490201                        ,1.0
2116040        ,210260                        ,6.0
1773060        ,327608                        ,3.0
1343030        ,317406                        ,1.0
1474000        ,143875                        ,2.0
1923030        ,167418                        ,1.0
1874060        ,413008                        ,11.0
1770040        ,143325                        ,100.0
1862010        ,847805                        ,2.0
1843010        ,150230                        ,1.0
