100030,48,10.31,494.88
100032,32,15.4,492.8
100034,1,15.77,15.77
100040,0,0,0
100060,8,18.59,148.72
100062,41,12.42,509.22
100124,0,0,0
100125,0,0,0
100126,34,24.7,839.8
100151,18,25.36,456.48
100156,5,28.62,143.1
100160,0,0,0
100162,0,0,0
100170,0,0,0
100300,0,0,0
100331,0,0,0
100333,0,0,0
100341,11,25.48,280.28
100343,1,29.32,29.32
100345,10,26.51,265.1
100347,12,32.09,385.08
100400,0,0,0
100401,0,0,0
100402,0,0,0
100406,0,0,0
100410,0,0,0
100440,0,0,0
100441,0,0,0
100442,0,0,0
100444,0,0,0
100445,0,0,0
100500,0,0,0
100502,0,0,0
100504,0,0,0
100506,0,0,0
100510,0,0,0
100512,0,0,0
100514,0,0,0
100516,0,0,0
100518,0,0,0
100520,0,0,0
100522,0,0,0
100524,0,0,0
100552,0,0,0
100560,0,0,0
100562,0,0,0
100564,0,0,0
100570,0,0,0
100574,0,0,0
100576,0,0,0
100600,0,0,0
100602,0,0,0
100604,0,0,0
100606,48,6.39,306.72
100608,35,6.39,223.65
100610,48,6.4,307.2
100612,42,6.4,268.8
100920,0,0,0
100930,0,0,0
100940,0,0,0
100950,0,0,0
100960,0,0,0
100970,0,0,0
100980,0,0,0
101019,1,25.26,25.26
101021,15,25.61,384.15
101030,0,0,0
101120,27,17.26,466.02
101140,44,39.91,1756.04
101150,19,54.75,1040.25
101152,70,38.77,2713.9
101155,68,54.27,3690.36
101200,54,42.8,2311.2
101202,147,42.56,6256.32
101204,140,42.59,5962.6
101300,0,0,0
102025,0,0,0
102500,0,0,0
102800,0,0,0
102802,0,0,0
102806,0,0,0
102808,0,0,0
102810,0,0,0
102821,0,0,0
102822,0,0,0
102830,0,0,0
102860,0,0,0
102862,0,0,0
102900,156,37.19,5801.64
102902,82,55.93,4586.26
103220,23,28.41,653.43
103249,2,11,22
103261,0,0,0
103263,0,0,0
103265,0,0,0
103300,16,42.58,681.28
103310,0,0,0
103320,0,0,0
103330,224,25.43,5696.32
103331,303,25.02079208,7581.3
103332,289,25.27,7303.03
103333,280,25.04,7011.2
104030,0,0,0
104040,0,0,0
105002,0,0,0
105003,0,0,0
105004,0,0,0
105005,0,0,0
106100,0,0,0
106120,0,0,0
106122,0,0,0
106124,0,0,0
106130,0,0,0
106132,0,0,0
106134,0,0,0
108200,0,0,0
108316,22,27.14,597.08
108318,0,0,0
108400,0,0,0
108404,0,0,0
108406,12,16,192
108410,10,13.05,130.5
108660,1,12.93,12.93
108800,2,43.52,87.04
108802,40,52.87,2114.8
108804,5,14.18,70.9
108812,0,0,0
108830,0,0,0
108840,3,14.22,42.66
108842,0,0,0
108845,0,0,0
108846,0,0,0
108847,0,0,0
108848,0,0,0
108849,0,0,0
108904,0,0,0
109002,0,0,0
109004,0,0,0
109006,0,0,0
109010,0,0,0
109016,24,31.84,764.16
109020,1,4.64,4.64
109022,20,8.47,169.4
109024,6,12.46,74.76
109030,35,5.77,201.95
109032,23,10.46,240.58
109034,22,14.68,322.96
109040,20,4.58,91.6
109042,18,8.47,152.46
109044,22,12.34,271.48
109920,0,0,0
110001,0,0,0
110012,0,0,0
110120,0,0,0
110130,0,0,0
110131,0,0,0
110132,0,0,0
110134,0,0,0
110136,0,0,0
110138,0,0,0
111120,14,20.97,293.58
111130,10,18.57,185.7
111131,20,18.63,372.6
111132,17,18.07,307.19
111134,17,19.08,324.36
111136,3,18.27,54.81
111137,0,0,0
111138,2,18.71,37.42
111139,0,0,0
112001,0,0,0
112002,0,0,0
112005,0,0,0
112007,0,0,0
112009,0,0,0
112012,0,0,0
112039,0,0,0
112075,0,0,0
120010,0,0,0
120020,0,0,0
120021,0,0,0
120022,0,0,0
120023,0,0,0
120024,0,0,0
120025,0,0,0
122001,0,0,0
122002,0,0,0
122005,0,0,0
122007,0,0,0
122009,0,0,0
122012,0,0,0
122039,0,0,0
122064,0,0,0
122070,0,0,0
122075,0,0,0
122101,0,0,0
122102,0,0,0
122105,0,0,0
122107,0,0,0
122112,0,0,0
122175,0,0,0
123010,0,0,0
123311,0,0,0
123312,0,0,0
123401,0,0,0
123402,0,0,0
123403,0,0,0
123406,0,0,0
123407,0,0,0
123502,0,0,0
123504,0,0,0
123506,0,0,0
123508,0,0,0
127010,0,0,0
127012,0,0,0
127014,0,0,0
127016,0,0,0
127018,40,58.31,2332.4
127020,0,0,0
127022,0,0,0
127024,0,0,0
127026,0,0,0
127100,0,0,0
127102,1179,53.02780322,62519.78
127200,0,0,0
127202,0,0,0
127204,0,0,0
127514,0,0,0
143125,3928,15.36,60334.08
143128,0,0,0
143150,1641,30.32,49755.12
143151,253,31.55,7982.15
143158,0,0,0
143320,0,0,0
143325,7961,15.50869489,123464.72
143328,0,0,0
143350,2972,30.71,91270.12
143351,709,31.95,22652.55
143358,0,0,0
143365,11035,20.13614862,222202.4
143425,0,0,0
143428,0,0,0
143458,0,0,0
143525,0,0,0
143550,0,0,0
143552,0,0,0
143565,0,0,0
143625,0,0,0
143631,0,0,0
143650,0,0,0
143651,256,30.75,7872
143652,1218,19.74,24043.32
143665,938,19.26,18065.88
143725,943,12.3,11598.9
143728,0,0,0
143750,739,26.03,19236.17
143751,72,27.96,2013.12
143758,0,0,0
143765,529,17.46,9236.34
143775,72,33.03,2378.16
143785,198,15.37,3043.26
143852,0,0,0
143865,214,20.79,4449.06
143875,471,29.36,13828.56
143885,28,27.07,757.96
143925,2184,8.66,18913.44
143965,450,11.4,5130
144125,0,0,0
144128,0,0,0
144150,0,0,0
